site_code,stn_id,latitude,longitude,well_use
327229N1168045W001,17648,32.7229,-116.8045,Unknown
327229N1168076W001,17801,32.7229,-116.8076,Unknown
327232N1168079W001,17802,32.7232,-116.8079,Unknown
327235N1147711W001,35667,32.7235,-114.7711,Unknown
327235N1168059W001,17803,32.7235,-116.8059,Unknown
327235N1168126W001,17799,32.7235,-116.8126,Unknown
327238N1168059W001,34810,32.7238,-116.8059,Unknown
327240N1168168W001,39143,32.724,-116.8168,Unknown
327243N1168165W001,17796,32.7243,-116.8165,Unknown
327243N1168168W001,17793,32.7243,-116.8168,Unknown
327243N1168168W002,17794,32.7243,-116.8168,Unknown
327243N1168168W003,17795,32.7243,-116.8168,Unknown
327243N1168176W001,17789,32.7243,-116.8176,Unknown
327246N1168054W001,34809,32.7246,-116.8054,Unknown
327246N1168165W001,17797,32.7246,-116.8165,Unknown
327249N1168112W001,34807,32.7249,-116.8112,Unknown
327249N1168123W001,34806,32.7249,-116.8123,Unknown
327249N1168154W001,17791,32.7249,-116.8154,Unknown
327252N1168076W001,34808,32.7252,-116.8076,Unknown
327252N1168156W001,17792,32.7252,-116.8156,Unknown
327254N1168120W001,17798,32.7254,-116.812,Unknown
327254N1168154W001,17790,32.7254,-116.8154,Unknown
327254N1168190W001,39647,32.7254,-116.819,Unknown
327257N1159886W001,35821,32.7257,-115.9886,Unknown
327257N1168179W001,17787,32.7257,-116.8179,Unknown
327260N1159347W001,16807,32.726,-115.9347,Unknown
327260N1168181W001,17788,32.726,-116.8181,Unknown
327260N1168193W001,34805,32.726,-116.8193,Unknown
327263N1168145W001,34696,32.7263,-116.8145,Unknown
327265N1168151W001,17784,32.7265,-116.8151,Unknown
327265N1168179W001,34697,32.7265,-116.8179,Unknown
327268N1168165W001,17783,32.7268,-116.8165,Unknown
327277N1168201W001,17786,32.7277,-116.8201,Unknown
327282N1168156W001,17785,32.7282,-116.8156,Unknown
327285N1159636W001,35934,32.7285,-115.9636,Unknown
327288N1160169W001,35818,32.7288,-116.0169,Unknown
327288N1168198W001,39646,32.7288,-116.8198,Unknown
327293N1160183W001,18335,32.7293,-116.0183,Unknown
327293N1168198W001,34804,32.7293,-116.8198,Unknown
327299N1163037W001,18330,32.7299,-116.3037,Unknown
327299N1168223W001,34803,32.7299,-116.8223,Unknown
327302N1168206W001,35805,32.7302,-116.8206,Unknown
327302N1168218W001,18308,32.7302,-116.8218,Unknown
327302N1168218W002,18309,32.7302,-116.8218,Unknown
327307N1159633W001,18349,32.7307,-115.9633,Unknown
327307N1159953W001,18339,32.7307,-115.9953,Unknown
327310N1168190W001,18176,32.731,-116.819,Unknown
327313N1168198W001,18175,32.7313,-116.8198,Unknown
327315N1168190W001,35521,32.7315,-116.819,Unknown
327321N1168212W001,18310,32.7321,-116.8212,Unknown
327330N1146338W001,16913,32.733,-114.6338,Unknown
327330N1146338W002,17426,32.733,-114.6338,Unknown
327332N1159516W001,16806,32.7332,-115.9516,Unknown
327338N1159939W001,18338,32.7338,-115.9939,Unknown
327346N1146426W001,16912,32.7346,-114.6426,Unknown
327349N1147251W001,35661,32.7349,-114.7251,Unknown
327350N1146109W001,16904,32.735,-114.6109,Unknown
327352N1147251W001,18245,32.7352,-114.7251,Unknown
327352N1147252W001,35660,32.7352,-114.7252,Unknown
327354N1159875W001,35820,32.7354,-115.9875,Unknown
327357N1146130W001,32757,32.7357,-114.613,Unknown
327359N1147252W001,18246,32.7359,-114.7252,Unknown
327359N1147252W002,35662,32.7359,-114.7252,Unknown
327360N1146508W001,32762,32.736,-114.6508,Unknown
327361N1147255W001,18247,32.7361,-114.7255,Unknown
327361N1148954W001,16065,32.7361,-114.8954,Unknown
327365N1148956W001,33312,32.7365,-114.8956,Unknown
327366N1146592W001,17427,32.7366,-114.6592,Unknown
327367N1147177W001,39651,32.7367,-114.7177,Unknown
327368N1163468W001,35810,32.7368,-116.3468,Unknown
327370N1146385W001,16911,32.737,-114.6385,Unknown
327373N1146251W001,32758,32.7373,-114.6251,Unknown
327373N1148913W001,33313,32.7373,-114.8913,Unknown
327378N1146340W001,16907,32.7378,-114.634,Unknown
327378N1146388W001,16910,32.7378,-114.6388,Unknown
327378N1146396W001,32761,32.7378,-114.6396,Unknown
327378N1170722W001,48696,32.73778,-117.07222,Observation
327379N1159964W001,18336,32.7379,-115.9964,Unknown
327379N1163662W001,18324,32.7379,-116.3662,Unknown
327380N1146359W001,32760,32.738,-114.6359,Unknown
327382N1149821W001,34355,32.7382,-114.9821,Unknown
327382N1159750W001,18347,32.7382,-115.975,Unknown
327385N1145906W001,39652,32.7385,-114.5906,Unknown
327385N1159828W001,35933,32.7385,-115.9828,Unknown
327386N1146167W001,16903,32.7386,-114.6167,Unknown
327389N1146686W001,36067,32.7389,-114.6686,Unknown
327389N1146686W002,17429,32.7389,-114.6686,Unknown
327389N1146686W003,17430,32.7389,-114.6686,Unknown
327390N1163551W001,18327,32.739,-116.3551,Unknown
327391N1160064W001,35817,32.7391,-116.0064,Unknown
327393N1146015W001,32756,32.7393,-114.6015,Unknown
327393N1148075W001,35663,32.7393,-114.8075,Unknown
327393N1160083W001,18334,32.7393,-116.0083,Unknown
327396N1160025W001,18337,32.7396,-116.0025,Unknown
327397N1146426W002,16909,32.7397,-114.6426,Unknown
327399N1159664W001,18348,32.7399,-115.9664,Unknown
327399N1170476W001,24927,32.7399,-117.0476,Unknown
327402N1146821W001,36066,32.7402,-114.6821,Unknown
327402N1160247W001,18333,32.7402,-116.0247,Unknown
327402N1163526W001,18326,32.7402,-116.3526,Unknown
327406N1148874W001,16066,32.7406,-114.8874,Unknown
327407N1146772W001,17428,32.7407,-114.6772,Unknown
327407N1159950W001,18332,32.7407,-115.995,Unknown
327409N1148877W001,16067,32.7409,-114.8877,Unknown
327413N1159536W001,35932,32.7413,-115.9536,Unknown
327418N1159336W001,35930,32.7418,-115.9336,Unknown
327420N1146511W001,16908,32.742,-114.6511,Unknown
327436N1146600W001,36065,32.7436,-114.66,Unknown
327443N1159944W001,18331,32.7443,-115.9944,Unknown
327445N1147562W001,18235,32.7445,-114.7562,Unknown
327446N1155447W001,35903,32.7446,-115.5447,Unknown
327446N1155447W002,17312,32.7446,-115.5447,Unknown
327446N1155447W003,35904,32.7446,-115.5447,Unknown
327446N1159636W001,18346,32.7446,-115.9636,Unknown
327449N1163670W001,18323,32.7449,-116.367,Unknown
327452N1153933W001,17310,32.7452,-115.3933,Unknown
327452N1155441W001,35901,32.7452,-115.5441,Unknown
327452N1155441W002,17309,32.7452,-115.5441,Unknown
327452N1155441W003,35902,32.7452,-115.5441,Unknown
327452N1155441W004,17311,32.7452,-115.5441,Unknown
327452N1158578W001,16811,32.7452,-115.8578,Unknown
327454N1146082W001,16901,32.7454,-114.6082,Unknown
327454N1146082W002,16902,32.7454,-114.6082,Unknown
327454N1146168W001,16905,32.7454,-114.6168,Unknown
327454N1146427W001,32759,32.7454,-114.6427,Unknown
327454N1159933W001,35814,32.7454,-115.9933,Unknown
327455N1146164W001,39057,32.7455,-114.6164,Unknown
327455N1146166W001,16900,32.7455,-114.6166,Unknown
327455N1146339W001,16906,32.7455,-114.6339,Unknown
327456N1146513W001,16890,32.7456,-114.6513,Unknown
327457N1145996W001,18275,32.7457,-114.5996,Unknown
327457N1146687W001,32755,32.7457,-114.6687,Unknown
327459N1147403W001,18240,32.7459,-114.7403,Unknown
327460N1160014W001,39151,32.746,-116.0014,Unknown
327463N1163334W001,18328,32.7463,-116.3334,Unknown
327464N1147475W001,35656,32.7464,-114.7475,Unknown
327465N1146947W001,16882,32.7465,-114.6947,Unknown
327465N1146948W001,32749,32.7465,-114.6948,Unknown
327465N1163459W001,35808,32.7465,-116.3459,Unknown
327465N1163601W001,35809,32.7465,-116.3601,Unknown
327466N1159572W001,18345,32.7466,-115.9572,Unknown
327472N1147677W001,18233,32.7472,-114.7677,Unknown
327476N1146772W001,32752,32.7476,-114.6772,Unknown
327476N1147435W001,35655,32.7476,-114.7435,Unknown
327476N1147763W001,16220,32.7476,-114.7763,Unknown
327477N1147437W001,18238,32.7477,-114.7437,Unknown
327485N1146825W001,16885,32.7485,-114.6825,Unknown
327485N1164073W001,18322,32.7485,-116.4073,Unknown
327488N1160122W001,35816,32.7488,-116.0122,Unknown
327490N1163579W001,18325,32.749,-116.3579,Unknown
327493N1163356W001,18315,32.7493,-116.3356,Unknown
327494N1147055W001,35658,32.7494,-114.7055,Unknown
327495N1147080W001,18243,32.7495,-114.708,Unknown
327495N1147080W002,35659,32.7495,-114.708,Unknown
327496N1159525W001,35931,32.7496,-115.9525,Unknown
327496N1163345W001,18313,32.7496,-116.3345,Unknown
327496N1163348W001,18314,32.7496,-116.3348,Unknown
327497N1147068W001,18242,32.7497,-114.7068,Unknown
327497N1147069W001,18241,32.7497,-114.7069,Unknown
327498N1147095W001,18244,32.7498,-114.7095,Unknown
327498N1148722W001,33309,32.7498,-114.8722,Unknown
327502N1158241W001,16810,32.7502,-115.8241,Unknown
327503N1147657W001,18232,32.7503,-114.7657,Unknown
327505N1146910W001,16881,32.7505,-114.691,Unknown
327507N1163587W001,18317,32.7507,-116.3587,Unknown
327518N1163773W001,18319,32.7518,-116.3773,Unknown
327521N1163540W001,18318,32.7521,-116.354,Unknown
327521N1164051W001,18321,32.7521,-116.4051,Unknown
